vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.002,0.002,0.03,1.0,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,63.07000000000001,62.2,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.002,0.002,0.03,0.5,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,67.66,65.65,100.0
0.0,0.5,0.5,60000.0,0.03,0.06,1.0,1.0,0.35,0.0,0.005,50.0,10.0,0.002,0.002,0.04,1.0,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,72.82,72.27,100.0
