input_nbr,input_scale,tau_in,tau_out,thr_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,bias_in,seed,accuracy,accuracy_2
60000.0,0.00675,30.0,30.0,1.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.2155,0.2188
60000.0,0.00675,30.0,30.0,1.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.4601,0.4692
60000.0,0.00675,30.0,30.0,1.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.435,0.4403
60000.0,0.00675,30.0,30.0,1.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,1.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.3229,0.3259
60000.0,0.00675,30.0,30.0,2.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5122,0.5161
60000.0,0.00675,30.0,30.0,2.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5019,0.5074
60000.0,0.00675,30.0,30.0,2.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,2.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.4638,0.4636
60000.0,0.00675,30.0,30.0,4.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5818,0.5814
60000.0,0.00675,30.0,30.0,4.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5946,0.5935
60000.0,0.00675,30.0,30.0,4.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,4.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.4752,0.4737
60000.0,0.00675,30.0,30.0,8.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.589,0.5891
60000.0,0.00675,30.0,30.0,8.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5929,0.5913
60000.0,0.00675,30.0,30.0,8.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,8.0,0.0005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,10.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.4716,0.4685
60000.0,0.00675,30.0,30.0,10.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,10.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.008,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,10.0,0.005,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.004,50.0,0.098,0.098
60000.0,0.00675,30.0,30.0,10.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.032,50.0,0.5837,0.5829
60000.0,0.00675,30.0,30.0,10.0,0.001,1.0,350.0,100.0,1.0,10.0,10.0,5.0,0.016,50.0,0.098,0.098
