vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,70.67,69.83,100.0
0.0,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,69.49,67.74,100.0
0.0,0.5,0.5,60000.0,0.06,0.03,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,69.81,68.96,100.0
0.0,0.5,0.5,60000.0,0.06,0.03,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,68.78,68.46,100.0
0.0,0.5,0.5,60000.0,0.06,0.05,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,72.71,70.42,100.0
0.0,0.5,0.5,60000.0,0.06,0.05,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,69.23,66.85,100.0
0.0,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,67.25,67.27,100.0
0.0,0.75,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,72.78,72.4,100.0
0.0,0.75,0.5,60000.0,0.06,0.03,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,62.739999999999995,62.67,100.0
0.0,0.75,0.5,60000.0,0.06,0.03,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,52.61,52.73,100.0
0.0,0.75,0.5,60000.0,0.06,0.05,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,67.25,66.52,100.0
0.0,0.75,0.5,60000.0,0.06,0.05,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,63.43,61.19,100.0
0.0,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,61.67,61.2,100.0
0.0,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,5.0,0.9,0.0,66.57,66.24,100.0
0.0,1.0,0.5,60000.0,0.06,0.03,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,53.480000000000004,53.79,100.0
