vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,tau_stdp,accuracy,accuracy_2,seed
0.0,0.01,0.5,10000.0,0.03,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.81,0.03,100.0
0.0,0.01,0.5,10000.0,0.03,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.85,0.08,100.0
0.0,0.01,0.5,10000.0,0.02,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.01,100.0
0.0,0.01,0.5,10000.0,0.02,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.01,100.0
0.0,0.01,0.5,10000.0,0.02,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.02,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.85,0.04,100.0
0.0,0.01,0.5,10000.0,0.02,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.81,0.02,100.0
0.0,0.01,0.5,10000.0,0.02,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.84,0.07,100.0
0.0,0.01,0.5,10000.0,0.02,0.1,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.09,100.0
0.0,0.01,0.5,10000.0,0.1,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.1,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.1,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.1,0.03,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.1,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
0.0,0.01,0.5,10000.0,0.1,0.02,1.0,0.0,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.002,0.01,1.0,0.005,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.01,9.8,0.0,100.0
